Model,MAE,RMSE,R2,MAPE,Training_Time
Baseline,0.029050884768366814,0.03729136288930283,-0.241790771484375,3.0602488666772842,0.3544628620147705
NS-QPEFT,0.02625362202525139,0.03373991714913589,-0.016529321670532227,2.7647672221064568,1.0097081661224365
