epoch,train_loss,validation_loss
1,0.10736277870928815,0.0009808191859449905
2,0.0007567422546997883,0.00037412993305434403
3,0.0004884077466909042,0.00028165935117823
4,0.00040947163873973744,0.0002650376218997945
5,0.00038852796039896684,0.00027320956556090654
6,0.00037755689591347934,0.0002811999270656648
7,0.00036880001340974664,0.0002565078197781426
8,0.0003539664561756281,0.00027802350142827403
9,0.0003522706836308307,0.0002679505783957071
10,0.00034762290779679776,0.00025978422043128655
11,0.0003609826932553862,0.0003157134779030457
12,0.0003603038928207028,0.0002484274535583189
13,0.0003729015662932759,0.00029849265299092693
14,0.00033794638310283314,0.0002403910044589653
15,0.0003631686296164809,0.0002354916186259988
16,0.00035877702047074105,0.00024042777323092407
17,0.0003505061987083342,0.0002398375464298834
18,0.00034786043574217506,0.0003188565359988178
19,0.0003521524362511327,0.00024516873236279935
20,0.0003373815106720781,0.0002568468111208998
21,0.00034041759153676573,0.0002443800140799095
22,0.0003216621518678719,0.0002430089555743437
23,0.0003244396182849723,0.00023097885871091142
24,0.00031631028535945377,0.00023111291878964179
25,0.00032442072530738215,0.00025833025126932905
26,0.00032840765706371985,0.00024483353515209345
27,0.00032355764747124836,0.00022965259491824187
28,0.0003183000622564719,0.00022739304572146817
29,0.00031435079113930665,0.00022797715680028958
30,0.00032166504035240436,0.00023981880804058164
31,0.0003253002991522346,0.00023810653286860682
32,0.00033582994266236836,0.00024134066972272613
33,0.0003123681080184009,0.0003620491826530689
34,0.00032841297006686623,0.00022841850631476307
35,0.0003042908335100064,0.00022214286358435996
36,0.00030428267504230993,0.00022630563762504607
37,0.0003063938661265974,0.00024096116360921698
38,0.00030715428945468285,0.00023731847389941462
39,0.0003029379685826428,0.00024638005561428145
40,0.0003086147543514211,0.00022405462592499904
41,0.0003039758203599774,0.00022257514165875575
42,0.0002935407707977416,0.00022156591260751995
43,0.0002954799123277924,0.0002225400614686525
44,0.00029511726101085053,0.00022119586915673257
45,0.0002924571976798035,0.00022356780951108353
46,0.0002925472770726028,0.00022255740903067187
47,0.000298682026942577,0.0002239326450552863
48,0.0003008642541900169,0.00022198736461667487
49,0.00029918993265171383,0.00024021504493878008
50,0.0002919383612924789,0.00022528302025211116
51,0.00028883327566962054,0.0002234335792868828
52,0.0002903943725701114,0.00022219131978300327
53,0.00028948179943186404,0.0002229493385619627
54,0.0002931687374513379,0.00022815986337193934
55,0.0002922219812284558,0.00022161958342901646
56,0.0002918238462671158,0.00023798574301718662
57,0.00028641556714010396,0.00022365414378537724
58,0.0002873418912024789,0.0002261920862320739
59,0.0002892532546804467,0.00024123340979433403
60,0.0002885806876928681,0.00022309358162321866
61,0.0002861288252178675,0.00022160657121835707
62,0.00028650115309927375,0.00022229577846771391
63,0.0002909675468685042,0.00022515936815090335
64,0.00028499869257607273,0.0002235263415898841
