depth,gate_count,cx_count,remote_gate_count,teleportation_count,bell_fidelity,latency,waiting_time,link_loss,ideal_counts,noisy_counts,output_fidelity
7,18,0,0,0,0.988,41.78,21.26,0.038,"{'0001': 45, '1100': 45, '1000': 121, '1110': 90, '1111': 265, '0101': 122, '1011': 76, '1010': 260}","{'0111': 2, '0010': 1, '0000': 9, '1011': 66, '1001': 5, '0110': 1, '0011': 2, '0001': 52, '0101': 126, '1000': 131, '1110': 77, '0100': 3, '1100': 47, '1101': 2, '1111': 266, '1010': 234}",0.9521
11,22,1,1,1,0.931,68.8,26.64,0.061,"{'0010': 2, '1011': 2, '0011': 64, '1100': 31, '1000': 28, '1110': 98, '1010': 119, '0101': 306, '0110': 93, '0001': 281}","{'1011': 13, '0111': 2, '0000': 13, '0010': 9, '1111': 15, '1101': 5, '1001': 3, '0001': 283, '0011': 71, '1000': 31, '1110': 82, '1010': 113, '1100': 30, '0100': 11, '0110': 79, '0101': 264}",0.9229
7,12,0,0,0,0.949,96.62,30.63,0.039,"{'1000': 1, '0010': 333, '0000': 690}","{'0011': 14, '1001': 9, '1011': 8, '0001': 21, '1010': 16, '1100': 1, '1000': 30, '0010': 290, '0000': 635}",0.9043
11,23,1,0,0,0.957,89.86,19.27,0.032,"{'1010': 19, '1111': 70, '1101': 63, '1011': 46, '0010': 256, '0101': 72, '0011': 83, '0001': 41, '0110': 71, '1110': 222, '0111': 41, '1001': 40}","{'0101': 63, '1011': 39, '1001': 43, '0110': 70, '1010': 55, '1100': 24, '0100': 24, '1000': 14, '1110': 167, '1101': 65, '1111': 79, '0111': 45, '0001': 42, '0011': 73, '0010': 194, '0000': 27}",0.8594
10,23,1,1,1,0.991,96.77,17.6,0.031,"{'1110': 1, '0101': 3, '1111': 1, '1101': 7, '1010': 4, '0010': 8, '0000': 42, '1100': 14, '1000': 61, '0110': 376, '0001': 20, '0011': 164, '0111': 186, '1001': 137}","{'1011': 4, '1110': 11, '0010': 20, '0000': 51, '1111': 16, '1101': 12, '1010': 10, '0101': 4, '1001': 118, '0111': 180, '0001': 23, '0011': 141, '0100': 3, '1100': 15, '1000': 85, '0110': 331}",0.9092
9,18,0,0,0,0.992,15.47,19.92,0.008,"{'1010': 14, '1011': 12, '0011': 24, '1000': 131, '0010': 23, '0000': 356, '1001': 105, '0001': 359}","{'1110': 5, '1010': 26, '0101': 25, '1011': 33, '1001': 102, '0001': 273, '0011': 38, '0111': 14, '0110': 25, '0100': 31, '1100': 12, '1000': 112, '1111': 6, '1101': 17, '0010': 24, '0000': 281}",0.8213
10,22,1,1,1,0.917,23.25,48.96,0.166,"{'1000': 511, '0000': 513}","{'0101': 1, '1001': 4, '1010': 6, '1011': 2, '0100': 3, '0110': 3, '0011': 3, '0001': 2, '1111': 4, '0010': 6, '0000': 498, '1000': 492}",0.9668
5,9,0,0,0,0.891,37.52,29.17,0.061,{'0001': 1024},"{'0110': 1, '1010': 1, '1011': 2, '0111': 9, '1000': 5, '0100': 21, '1100': 5, '1110': 1, '1101': 8, '1111': 8, '0011': 14, '0001': 832, '1001': 35, '0010': 6, '0000': 36, '0101': 40}",0.8125
9,21,0,0,0,0.891,18.86,28.23,0.031,"{'0111': 28, '1110': 10, '1100': 3, '0100': 17, '1001': 73, '0101': 21, '1010': 98, '0110': 24, '0011': 175, '0001': 96, '1101': 6, '1111': 20, '0000': 86, '0010': 162, '1000': 52, '1011': 153}","{'1100': 9, '0100': 23, '1110': 13, '0110': 31, '1000': 50, '0101': 37, '0011': 185, '0001': 103, '1010': 102, '0000': 69, '0010': 148, '1101': 6, '1111': 20, '0111': 38, '1011': 110, '1001': 80}",0.9258
6,16,0,0,0,0.906,64.13,23.56,0.074,"{'0100': 365, '0001': 137, '0011': 143, '0110': 379}","{'1111': 1, '0000': 4, '1011': 3, '0101': 3, '1110': 9, '0100': 375, '1100': 7, '0010': 6, '1001': 3, '0110': 334, '0011': 131, '0001': 142, '0111': 6}",0.9443
8,20,0,0,0,0.994,29.37,35.38,0.103,"{'0110': 85, '1110': 109, '1111': 415, '0111': 415}","{'1010': 2, '1000': 2, '0010': 5, '1001': 6, '0101': 7, '0000': 2, '1011': 7, '0001': 7, '0011': 11, '1101': 6, '1111': 373, '0111': 392, '0110': 89, '0100': 4, '1100': 3, '1110': 108}",0.9355
8,14,0,0,0,0.871,53.97,16.38,0.094,"{'0000': 50, '1000': 974}","{'1001': 16, '1010': 7, '0001': 10, '1111': 9, '0000': 57, '1000': 925}",0.9521
8,16,0,0,0,0.995,38.2,8.0,0.023,"{'1001': 12, '1011': 62, '1010': 58, '0000': 43, '0101': 124, '0110': 84, '1100': 74, '0100': 119, '0001': 45, '1000': 84, '1110': 100, '1101': 64, '1111': 70, '0111': 85}","{'0010': 3, '1010': 43, '1001': 18, '1011': 45, '0000': 63, '1000': 67, '0100': 151, '1100': 88, '1110': 94, '0110': 66, '0011': 3, '0001': 45, '0101': 123, '1101': 72, '1111': 59, '0111': 84}",0.916
7,13,0,0,0,0.933,15.07,21.79,0.151,"{'0100': 1, '0001': 541, '1110': 1, '1100': 1, '1001': 30, '1011': 450}","{'1111': 1, '0101': 4, '1001': 29, '1010': 4, '1000': 4, '1100': 1, '1110': 6, '0000': 7, '1011': 457, '0100': 1, '0001': 510}",0.9688
5,11,1,1,1,0.994,50.38,15.02,0.028,"{'0001': 526, '0000': 498}","{'1110': 4, '1011': 2, '0101': 4, '1000': 1, '1100': 2, '0100': 4, '0011': 22, '0001': 461, '0110': 11, '0000': 477, '0010': 16, '1111': 5, '0111': 15}",0.916
5,14,0,0,0,0.988,98.33,12.43,0.129,"{'1001': 13, '0101': 13, '1010': 11, '0010': 4, '0000': 42, '0110': 17, '1100': 1, '0100': 206, '1011': 222, '0111': 252, '0001': 3, '0011': 57, '1000': 183}","{'0010': 10, '0110': 17, '1001': 12, '1010': 16, '0101': 17, '0000': 44, '0011': 60, '0001': 12, '1100': 5, '0100': 204, '1011': 188, '1101': 4, '1111': 7, '0111': 242, '1110': 7, '1000': 179}",0.9502
10,22,0,0,0,0.991,6.97,17.09,0.094,"{'0111': 270, '0011': 243, '0101': 511}","{'1001': 1, '1000': 1, '1010': 11, '0110': 11, '1110': 10, '0100': 23, '1100': 10, '1011': 24, '0011': 215, '0001': 10, '0000': 6, '0010': 14, '0111': 206, '0101': 439, '1111': 15, '1101': 28}",0.8398
9,27,0,0,0,0.883,83.76,24.26,0.136,"{'0010': 29, '1001': 7, '1110': 40, '0000': 52, '1111': 48, '1101': 45, '0100': 209, '1100': 39, '1000': 34, '1011': 36, '0001': 66, '0011': 63, '0111': 40, '1010': 90, '0101': 199, '0110': 27}","{'1001': 13, '0000': 42, '0010': 28, '0111': 54, '1010': 69, '1011': 46, '1110': 48, '1000': 24, '0100': 213, '1100': 47, '0011': 67, '0001': 72, '0110': 21, '1101': 61, '1111': 29, '0101': 190}",0.9258
10,19,0,0,0,0.888,22.53,10.95,0.016,"{'1001': 142, '1011': 67, '1111': 191, '0111': 189, '1101': 106, '0010': 84, '0110': 104, '0001': 141}","{'1110': 12, '0000': 9, '1010': 15, '0101': 13, '1011': 70, '1000': 13, '0100': 12, '1100': 15, '0010': 77, '1101': 83, '1111': 186, '0111': 151, '1001': 115, '0110': 78, '0011': 6, '0001': 169}",0.877
5,14,2,2,2,0.97,25.5,10.47,0.099,"{'1011': 14, '1111': 16, '1101': 16, '1010': 14, '0101': 232, '0000': 222, '1100': 15, '0100': 221, '0001': 222, '1000': 20, '1110': 20, '1001': 12}","{'0110': 4, '0010': 4, '1001': 12, '1010': 16, '1011': 14, '1101': 11, '1111': 17, '0111': 5, '0011': 9, '0001': 197, '0100': 240, '1100': 11, '1110': 15, '1000': 18, '0101': 223, '0000': 228}",0.9512
8,14,0,0,0,0.925,66.58,20.76,0.082,"{'1001': 409, '1000': 615}","{'0110': 1, '0111': 7, '0010': 5, '0011': 6, '0001': 12, '1111': 34, '1101': 23, '1011': 8, '1010': 33, '0000': 18, '1110': 11, '0100': 6, '1100': 25, '1000': 499, '1001': 336}",0.8154
8,12,0,0,0,0.99,69.75,18.41,0.127,{'0000': 1024},"{'1110': 1, '0111': 2, '0110': 11, '1000': 27, '0100': 36, '1100': 7, '1001': 13, '1010': 4, '1111': 1, '1101': 5, '0011': 15, '0001': 23, '0000': 822, '0010': 46, '0101': 11}",0.8027
10,21,0,0,0,0.976,40.83,34.59,0.034,"{'1000': 502, '1011': 522}","{'0011': 3, '0010': 5, '0000': 7, '1010': 4, '0001': 6, '1000': 479, '1001': 11, '1011': 509}",0.9648
11,15,0,0,0,0.986,24.15,13.02,0.064,"{'1000': 137, '0000': 887}","{'0111': 2, '1011': 5, '1111': 1, '1101': 1, '1001': 23, '0101': 12, '0001': 37, '0011': 5, '1010': 4, '0110': 1, '1100': 11, '0100': 31, '0000': 734, '0010': 9, '1110': 6, '1000': 142}",0.8506
10,17,0,0,0,0.954,91.16,14.2,0.084,"{'1010': 1, '0111': 9, '0011': 263, '1111': 239, '1110': 250, '0110': 6, '0010': 256}","{'1011': 4, '0101': 3, '1000': 2, '0110': 9, '1001': 4, '1010': 8, '0100': 4, '1100': 11, '1110': 228, '0111': 10, '0001': 10, '0011': 241, '1111': 227, '1101': 20, '0000': 15, '0010': 228}",0.918
5,9,0,0,0,0.961,18.5,47.52,0.092,{'0000': 1024},"{'1010': 5, '0101': 9, '1100': 1, '1000': 7, '0110': 19, '0100': 21, '0001': 23, '0011': 27, '0010': 35, '0000': 877}",0.8564
11,26,0,0,0,0.975,5.24,10.57,0.116,"{'0110': 1, '0111': 4, '0100': 5, '1001': 23, '1000': 29, '1110': 1, '1010': 17, '0010': 35, '0000': 47, '0001': 10, '0011': 115, '1101': 339, '1111': 5, '0101': 229, '1011': 164}","{'1110': 11, '1100': 2, '0100': 12, '1001': 31, '1000': 32, '1010': 15, '0101': 216, '1011': 161, '0000': 56, '0010': 33, '0111': 10, '0011': 79, '0001': 19, '0110': 15, '1111': 15, '1101': 317}",0.9238
7,14,0,0,0,0.944,72.88,21.09,0.076,"{'1000': 1, '0111': 1, '0000': 60, '0010': 73, '1110': 25, '0100': 3, '1100': 35, '0110': 4, '0011': 273, '0001': 276, '1010': 4, '1111': 2, '1101': 131, '1011': 136}","{'0111': 10, '1110': 33, '1000': 12, '0110': 14, '0101': 16, '0100': 12, '1100': 38, '1111': 17, '1101': 124, '1010': 11, '1011': 121, '1001': 23, '0001': 223, '0011': 243, '0010': 66, '0000': 61}",0.8906
10,21,0,0,0,0.939,54.37,47.48,0.165,"{'0001': 20, '1000': 28, '0011': 203, '1111': 252, '1010': 262, '1101': 25, '0000': 25, '0010': 209}","{'1000': 41, '0001': 22, '0011': 183, '1111': 272, '1101': 34, '0000': 24, '0010': 171, '1010': 277}",0.9424
8,15,0,0,0,0.871,30.83,37.54,0.117,"{'0000': 13, '0100': 46, '0001': 965}","{'0100': 44, '0000': 21, '0001': 959}",0.9922
