depth,gate_count,cx_count,remote_gate_count,teleportation_count,bell_fidelity,latency,waiting_time,link_loss,ideal_counts,noisy_counts,output_fidelity
7,18,0,0,0,0.958,20.05,19.23,0.122,"{'0000': 2, '1000': 4, '0100': 3, '1100': 4, '0010': 21, '1110': 33, '1011': 37, '1010': 37, '1001': 199, '0101': 178, '0111': 15, '1101': 192, '1111': 42, '0001': 219, '0011': 25, '0110': 13}","{'1100': 3, '0100': 2, '1000': 5, '0010': 10, '1010': 30, '1110': 29, '0000': 7, '1001': 230, '1011': 44, '0111': 10, '1101': 202, '1111': 30, '0011': 20, '0001': 217, '0110': 20, '0101': 165}",0.9404
8,14,0,0,0,0.858,55.08,47.56,0.172,"{'0001': 9, '0010': 24, '0000': 991}","{'1001': 3, '0101': 7, '1101': 2, '0001': 20, '0011': 5, '1010': 8, '0110': 10, '0100': 25, '1100': 11, '1000': 26, '0010': 33, '0000': 874}",0.8857
10,16,0,0,0,0.861,24.41,42.87,0.006,"{'0001': 33, '0100': 473, '0101': 35, '0000': 483}","{'1011': 5, '1101': 5, '1111': 2, '0111': 11, '1010': 13, '1000': 30, '0100': 370, '1100': 16, '1110': 19, '0011': 5, '0001': 57, '0110': 36, '0101': 50, '0010': 16, '0000': 376, '1001': 13}",0.7949
11,39,0,0,0,0.906,68.76,14.52,0.021,"{'1110': 28, '0010': 27, '1000': 5, '0111': 60, '0001': 151, '0011': 87, '1101': 96, '1111': 37, '0110': 12, '1011': 56, '0000': 105, '1010': 47, '0100': 80, '1100': 9, '1001': 168, '0101': 56}","{'0110': 10, '1000': 6, '1111': 45, '1101': 74, '1110': 30, '1010': 45, '1011': 65, '0001': 135, '0011': 92, '0111': 64, '1001': 164, '1100': 17, '0100': 74, '0010': 47, '0000': 122, '0101': 34}",0.9277
6,10,0,0,0,0.924,82.72,21.97,0.124,"{'0010': 116, '0111': 908}","{'1010': 2, '1110': 3, '0110': 10, '0010': 118, '0111': 854, '0011': 13, '1111': 13, '1011': 11}",0.9473
6,15,0,0,0,0.876,6.21,36.7,0.128,"{'1010': 29, '1110': 490, '0010': 22, '0110': 483}","{'1011': 10, '0010': 15, '1111': 2, '0011': 13, '0111': 3, '1010': 22, '1110': 465, '0110': 494}",0.9619
6,11,0,0,0,0.995,88.09,36.37,0.082,"{'0001': 182, '0011': 842}","{'1011': 19, '1001': 7, '0001': 171, '1101': 5, '0101': 4, '0111': 13, '1111': 19, '0011': 786}",0.9346
10,13,0,0,0,0.967,28.32,21.63,0.167,{'0000': 1024},"{'0111': 2, '1110': 10, '1011': 9, '1111': 6, '1101': 6, '1001': 48, '0001': 99, '0011': 33, '1010': 38, '0110': 15, '1100': 29, '0100': 43, '0101': 16, '1000': 103, '0010': 65, '0000': 502}",0.4902
5,12,0,0,0,0.99,38.89,10.96,0.113,"{'1001': 1, '0001': 27, '1101': 21, '0101': 975}","{'1001': 1, '0001': 28, '0101': 970, '1101': 25}",0.9951
5,11,1,1,1,0.916,10.16,32.5,0.043,{'0000': 1024},"{'1010': 1, '1011': 5, '0111': 1, '1111': 5, '1001': 14, '1110': 2, '0100': 24, '0110': 13, '1101': 16, '0010': 25, '0000': 918}",0.8965
